season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2009/10,S Ladda,fb693839,317292,S Ladda,Sarabjit Ladda,India,"July 10, 1986, Patiala",36y 0m 15d 0H 0M 0S,Right hand Bat,Legbreak,Bowler
2009/10,S Narwal,287686fd,32084,S Narwal,Sumit Narwal,India,"April 16, 1982, Chirao, Karnal, Haryana",40y 3m 9d 0H 0M 0S,Left hand Bat,Right arm Medium,Allrounder
2009/10,S Sreesanth,6b8eb6e5,34274,S Sreesanth,Shanthakumaran Sreesanth,India,"February 06, 1983, Kothamangalam, Kerala",39y 5m 19d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2009/10,S Sriram,64a4c383,34118,S Sriram,Sridharan Sriram,India,"February 21, 1976, Madras (now Chennai), Tamil Nadu",46y 5m 4d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
2009/10,S Tyagi,c24a2c5d,317784,S Tyagi,Sudeep Tyagi,India,"September 17, 1987, Ghaziabad, Uttar Pradesh",34y 10m 8d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009/10,SA Asnodkar,ae091d39,26782,SA Asnodkar,Swapnil Ashok Asnodkar,India,"March 29, 1984, Porvorim, Goa, India",38y 3m 26d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Batter
2009/10,SB Jakati,c8179c68,29655,SB Jakati,Shadab Bashir Jakati,India,"November 27, 1980, Vasco da Gama, Goa",41y 7m 28d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Bowler
2009/10,SB Wagh,dddca1d6,279552,SB Wagh,Shrikant Bhaskar Wagh,India,"October 09, 1988, Chikhli",33y 9m 16d 0H 0M 0S,Left hand Bat,Left arm Medium fast,Allrounder
2009/10,SC Ganguly,725529bc,28779,SC Ganguly,Sourav Chandidas Ganguly,India,"July 08, 1972, Calcutta (now Kolkata), Bengal",50y 0m 17d 0H 0M 0S,Left hand Bat,Right arm Medium,Batter
2009/10,SE Bond,4f629497,36326,SE Bond,Shane Edward Bond,New Zealand,"June 07, 1975, Christchurch, Canterbury",47y 1m 18d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009/10,SE Marsh,508a1ea7,6683,SE Marsh,Shaun Edward Marsh,Australia,"July 09, 1983, Narrogin, Western Australia",39y 0m 16d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Top order Batter
2009/10,SJ Srivastava,2049f3a0,34245,SJ Srivastava,Shalabh Jagdishprasad Srivastava,India,"September 22, 1981, Allahabad, Uttar Pradesh",40y 10m 3d 0H 0M 0S,Right hand Bat,Left arm Fast medium,Bowler
2009/10,SK Raina,1dc12ab9,33335,SK Raina,Suresh Kumar Raina,India,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",35y 7m 28d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Middle order Batter
2009/10,SK Trivedi,3d7e087f,35353,SK Trivedi,Siddharth Kishorkumar Trivedi,India,"September 04, 1982, Ahmedabad, Gujarat",39y 10m 21d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009/10,SK Warne,bb18be76,8166,SK Warne,Shane Keith Warne,Australia,"September 13, 1969, Ferntree Gully, Victoria",52y 10m 12d 0H 0M 0S,Right hand Bat,Legbreak Googly,Bowler
2009/10,SL Malinga,a12e1d51,49758,SL Malinga,Separamadu Lasith Malinga,Sri Lanka,"August 28, 1983, Galle",38y 10m 27d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009/10,SP Goswami,541f85c9,302579,SP Goswami,Shreevats Pratyush Goswami,India,"May 18, 1989, Calcutta (now Kolkata), Bengal",33y 2m 7d 0H 0M 0S,Left hand Bat,NA,Wicketkeeper Batter
2009/10,SR Tendulkar,d2c2b2d5,35320,SR Tendulkar,Sachin Ramesh Tendulkar,India,"April 24, 1973, Bombay (now Mumbai), Maharashtra",49y 3m 1d 0H 0M 0S,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
2009/10,SR Watson,4329fbb5,8180,SR Watson,Shane Robert Watson,Australia,"June 17, 1981, Ipswich, Queensland",41y 1m 8d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Allrounder
2009/10,SS Tiwary,709b0bac,35390,SS Tiwary,Saurabh Sunil Tiwary,India,"December 30, 1989, Jamshedpur, Bihar",32y 6m 25d 0H 0M 0S,Left hand Bat,NA,Top order Batter
2009/10,ST Jayasuriya,f233bbb4,49209,ST Jayasuriya,Sanath Teran Jayasuriya,Sri Lanka,"June 30, 1969, Matara",53y 0m 25d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Allrounder
2009/10,STR Binny,bd17b45f,27223,STR Binny,Stuart Terence Roger Binny,India,"June 03, 1984, Bangalore, Karnataka",38y 1m 22d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2009/10,SW Tait,addfb70e,8076,SW Tait,Shaun William Tait,Australia,"February 22, 1983, Bedford Park, Adelaide, South Australia",39y 5m 3d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009/10,T Thushara,b2ae53f5,49677,T Thushara,Magina Thilan Thushara Mirando,Sri Lanka,"March 01, 1981, Balapitiya",41y 4m 24d 0H 0M 0S,Left hand Bat,Left arm Fast medium,Bowler
2009/10,TL Suman,aaa1b522,34281,TL Suman,Tirumalasetti Laxminarayana Suman,India,"December 15, 1983, Hyderabad, Andhra Pradesh",38y 7m 10d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Batter
2009/10,TM Dilshan,5bdcdb72,48472,TM Dilshan,Tillakaratne Mudiyanselage Dilshan,Sri Lanka,"October 14, 1976, Kalutara",45y 9m 11d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2009/10,UT Yadav,cc1e8c68,376116,UT Yadav,Umeshkumar Tilak Yadav,India,"October 25, 1987, Nagpur, Maharashtra",34y 9m 0d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
